backend,eps_seg,eps_scale,eps_print,total_err
SAM,-0.123378,0.120496,0.00718,-0.010697
SAM,-0.046665,-0.018901,0.006574,-0.058535
SAM,-0.032724,-0.047275,0.005945,-0.072974
SAM,-0.051397,0.035483,0.006403,-0.011448
SAM,-0.175474,0.058272,0.007797,-0.120623
SAM,0.107229,0.123176,0.007466,0.252899
SAM,-0.123378,0.09427,0.006029,-0.034956
SAM,-0.001231,0.072757,0.006268,0.078151
SAM,-0.036595,-0.037312,0.006287,-0.066711
SAM,-0.065288,-0.037711,0.007066,-0.094181
SAM,-0.06369,-0.087302,0.006702,-0.139705
SAM,-0.047561,-0.019883,0.006831,-0.060122
SAM,0.007933,0.012637,0.005826,0.026616
SAM,-0.055397,-0.012508,0.008523,-0.059261
SAM,-0.025556,0.029415,0.0072,0.010329
SAM,-0.109538,0.022533,0.006377,-0.083667
SAM,-0.125445,0.035048,0.006104,-0.089268
SAM,-0.002587,0.179699,0.006515,0.184313
SAM,-0.015883,0.110195,0.008071,0.101379
SAM,-0.041825,-0.037181,0.008409,-0.069693
SAM,-0.066542,0.043286,0.006266,-0.020034
SAM,-0.038415,0.046949,0.006462,0.013235
SAM,-0.033092,0.02931,0.005228,0.000451
SAM,-0.026949,0.067212,0.005289,0.043944
SAM,-0.164201,0.060467,0.007034,-0.107428
SAM,-0.022641,-0.021049,0.006586,-0.036912
SAM,0.004722,0.162496,0.006541,0.175624
SAM,-0.146034,-0.077418,0.006404,-0.207101
SAM,-0.089346,-0.213723,0.007221,-0.278804
SAM,-0.051397,0.040505,0.00703,-0.006035
SAM,-0.041825,-0.011358,0.007941,-0.045186
SAM,-0.044888,0.04958,0.009501,0.011992
SAM,-0.065288,0.069529,0.00583,0.005529
SAM,-0.10828,0.068305,0.005665,-0.041975
SAM,-0.063113,0.039143,0.008516,-0.01815
SAM,-0.09758,-0.108824,0.006842,-0.190282
SAM,0.107229,-0.050222,0.007707,0.059727
SAM,-0.049095,-0.052984,0.005778,-0.094274
SAM,-0.0405,-0.060415,0.00584,-0.093203
SAM,-0.052353,0.059936,0.007767,0.012248
SAM,-0.144467,-0.039865,0.005649,-0.173932
SAM,-0.055397,0.019596,0.008336,-0.028857
SAM,-0.001231,-0.005909,0.007744,0.000556
SAM,0.000962,0.062324,0.006214,0.069954
SAM,-0.09758,0.040854,0.008458,-0.052768
SAM,-0.037154,-0.092488,0.007444,-0.1197
SAM,-0.041825,0.081311,0.0067,0.043027
SAM,-0.056492,-0.074676,0.006995,-0.120842
SAM,-0.064611,-0.050193,0.004968,-0.107147
SAM,-0.164201,-0.080306,0.005566,-0.227042
SAM,-0.055397,0.007196,0.007676,-0.041297
SAM,-0.17337,-0.031941,0.007121,-0.194075
SAM,-0.021862,0.008894,0.008366,-0.004907
SAM,-0.089261,0.115308,0.007298,0.023168
SAM,-0.150138,0.13574,0.005704,-0.029271
SAM,-0.029976,-0.103334,0.005868,-0.125108
SAM,-0.089346,0.010394,0.006083,-0.074284
SAM,-0.158656,0.008874,0.006317,-0.145828
SAM,-0.08695,0.097898,0.007056,0.009509
SAM,-0.072339,-0.035178,0.00809,-0.097732
SAM,-0.047402,0.122236,0.007528,0.077087
SAM,-0.08695,-0.029314,0.008163,-0.106481
SAM,-0.021862,0.00326,0.007305,-0.011505
SAM,-0.037154,-0.032707,0.006481,-0.062609
SAM,-0.135385,-0.071737,0.005514,-0.192985
SAM,-0.067197,0.071805,0.007531,0.007312
SAM,-0.036121,-0.005076,0.006806,-0.034487
SAM,-0.038415,-0.020553,0.007693,-0.050934
SAM,-0.159224,-0.043234,0.006296,-0.190509
SAM,-0.089261,-0.036268,0.008534,-0.114801
SAM,-0.070033,-0.001803,0.008538,-0.063784
SAM,-0.021919,-0.012846,0.006028,-0.028662
SAM,-0.064011,-0.004911,0.007229,-0.061874
SAM,-0.002587,0.020209,0.00533,0.022993
SAM,-0.072339,-0.067523,0.00608,-0.129718
SAM,-0.094064,-0.068307,0.006026,-0.150859
SAM,-0.11315,-0.160861,0.006296,-0.251124
SAM,-0.044888,-0.068182,0.006628,-0.104111
SAM,-0.073547,-0.012292,0.006122,-0.079333
SAM,-0.033571,-0.084544,0.007053,-0.109036
SAM,-0.038329,0.027851,0.00537,-0.006237
SAM,-0.175474,-0.026037,0.007893,-0.190603
SAM,-0.144467,-0.00024,0.005837,-0.13968
SAM,-0.049095,-0.038479,0.006743,-0.07952
SAM,-0.052353,-0.058125,0.006475,-0.101655
SAM,-0.001231,-0.059875,0.007929,-0.053588
SAM,-0.044151,0.075711,0.006572,0.034974
SAM,-0.132492,-0.025263,0.008358,-0.14734
SAM,-0.027891,0.109588,0.007258,0.08647
SAM,-0.049095,0.003034,0.005965,-0.040521
SAM,-0.175474,0.046131,0.006687,-0.13167
SAM,-0.015381,-0.030967,0.006856,-0.03933
SAM,-0.075948,-0.08608,0.007634,-0.149043
SAM,-0.083184,-0.101029,0.007069,-0.169983
SAM,-0.173381,-0.196192,0.006678,-0.331119
SAM,-0.117899,0.091125,0.006136,-0.031613
SAM,-0.125471,0.08853,0.007378,-0.041026
SAM,-0.072339,-0.031387,0.006547,-0.095573
SAM,-0.05575,0.058575,0.006179,0.005735
SAM,-0.101556,-0.011329,0.005871,-0.106519
SAM,-0.049095,-0.031771,0.007926,-0.072009
SAM,-0.17337,-0.129458,0.005414,-0.276488
SAM,-0.015381,0.173714,0.00738,0.16419
SAM,-0.197629,0.114743,0.006921,-0.099371
SAM,-0.070033,0.022683,0.006353,-0.042896
SAM,-0.109538,0.106842,0.006183,-0.008306
SAM,-0.164201,-0.011868,0.006918,-0.168406
SAM,-0.050174,0.011855,0.006363,-0.032799
SAM,-0.089261,-0.046117,0.006323,-0.125768
SAM,-0.085325,0.008239,0.007894,-0.070509
SAM,-0.0405,-0.099765,0.006746,-0.130397
SAM,-0.164201,0.029681,0.006907,-0.133449
SAM,-0.016822,-0.05253,0.006098,-0.062788
SAM,-0.064011,-0.065265,0.007895,-0.118191
SAM,-0.066542,0.016237,0.008122,-0.043682
SAM,-0.073547,0.083187,0.007119,0.010666
SAM,0.026037,-0.135297,0.008327,-0.105395
SAM,-0.101556,-0.038308,0.006356,-0.130482
SAM,-0.082474,-0.048496,0.007819,-0.120144
SAM,-0.015152,-0.060297,0.006521,-0.068501
SAM,-0.051397,-0.033009,0.006418,-0.076823
SAM,-0.033571,-0.044267,0.008299,-0.068686
SAM,-0.032724,-0.041162,0.006537,-0.066476
SAM,-0.089261,0.046827,0.005944,-0.040946
SAM,0.107229,-0.043453,0.005085,0.064502
SAM,-0.073547,0.032583,0.006908,-0.036751
SAM,-0.033564,-0.030381,0.005874,-0.057421
SAM,-0.027891,-0.087254,0.008875,-0.104837
SAM,-0.106717,0.07023,0.00864,-0.035722
SAM,-0.05575,0.007527,0.003901,-0.044932
SAM,-0.073547,0.034918,0.008535,-0.033014
SAM,-0.10828,-0.065389,0.006118,-0.16149
SAM,-0.065288,-0.087721,0.008152,-0.14033
SAM,-0.016822,0.094551,0.007959,0.084704
SAM,-0.070033,0.076138,0.008241,0.00902
SAM,-0.048405,0.061386,0.008699,0.018795
SAM,-0.065932,0.008818,0.005742,-0.052284
SAM,0.065668,-0.093239,0.005854,-0.028037
SAM,0.017133,0.016362,0.00771,0.041745
SAM,-0.175474,0.144961,0.007012,-0.049329
SAM,-0.058802,-0.04761,0.007576,-0.096821
SAM,-0.074705,-0.058235,0.00655,-0.122881
SAM,-0.0405,0.032411,0.007785,-0.00169
SAM,-0.10729,-0.015971,0.005604,-0.116624
SAM,-0.09715,0.121578,0.008861,0.021588
SAM,-0.000619,-0.08404,0.009369,-0.076031
SAM,0.065668,0.019769,0.005096,0.092273
SAM,0.084014,-0.008394,0.008464,0.084013
SAM,-0.146034,0.005742,0.005163,-0.136696
SAM,-0.027372,-0.065717,0.007482,-0.084491
SAM,0.107229,-0.156201,0.005946,-0.060166
SAM,0.046176,-0.010908,0.00736,0.042381
SAM,-0.047402,0.206122,0.00565,0.15544
SAM,-0.022592,0.066934,0.007307,0.050451
SAM,-0.175474,-0.063065,0.006713,-0.222287
SAM,-0.050174,-0.062464,0.006634,-0.103596
SAM,-0.002587,0.037157,0.007258,0.041982
SAM,-0.016822,-0.031339,0.005192,-0.042689
SAM,-0.066542,0.084798,0.007519,0.020227
SAM,-0.164201,0.018189,0.006587,-0.143393
SAM,-0.047007,0.057542,0.005351,0.013223
SAM,-0.050174,-0.044696,0.00758,-0.08575
SAM,-0.10729,0.087302,0.006278,-0.023261
SAM,-0.10729,0.003495,0.006847,-0.098037
SAM,0.066421,-0.040424,0.007227,0.030707
SAM,0.106251,0.030509,0.006831,0.147789
SAM,-0.067197,0.020193,0.006867,-0.041826
SAM,0.057162,0.117074,0.007489,0.189772
SAM,-0.11141,0.106693,0.006624,-0.010089
SAM,-0.05662,0.082248,0.007923,0.02906
