backend,source,n,mean,sd,p1,p5,p50,p95,p99,p_abs_gt_5pct,p_abs_gt_10pct
SAM,SegE,20000,-0.053489,0.057202,-0.175474,-0.158656,-0.047561,0.046176,0.106251,0.52335,0.2301
SAM,ScaleE,20000,0.002009,0.073727,-0.163126,-0.117192,0.000463,0.125739,0.178062,0.49485,0.1756
SAM,PrE,20000,0.006885,0.001003,0.004593,0.005254,0.00688,0.008541,0.009262,0.0,0.0
SAM,TOTAL,20000,-0.045097,0.090619,-0.241055,-0.188612,-0.047346,0.107371,0.184394,0.6344,0.33825
SAM,TOTAL_RSS,20000,-0.044555,0.093477,-0.261092,-0.196433,-0.045187,0.111063,0.174885,0.6344,0.34055
GrabCut,SegE,20000,-0.006817,0.068182,-0.189894,-0.116892,-0.011496,0.130845,0.186751,0.3518,0.13395
GrabCut,ScaleE,20000,0.00221,0.073111,-0.163483,-0.116487,0.001176,0.126379,0.179275,0.48615,0.17085
GrabCut,PrE,20000,0.00691,0.001002,0.004572,0.005273,0.006908,0.008553,0.009282,0.0,0.0
GrabCut,TOTAL,20000,0.002284,0.10096,-0.218925,-0.155253,-0.002044,0.177632,0.272755,0.59915,0.3016
GrabCut,TOTAL_RSS,20000,0.002616,0.099782,-0.227172,-0.161864,0.001517,0.167218,0.233308,0.61495,0.31945
Watershed,SegE,20000,-0.045246,0.072436,-0.200777,-0.164968,-0.043688,0.063226,0.225237,0.5404,0.23135
Watershed,ScaleE,20000,0.002286,0.072727,-0.161728,-0.11514,0.000453,0.124025,0.178378,0.4892,0.1708
Watershed,PrE,20000,0.006895,0.001008,0.004538,0.005232,0.006891,0.008532,0.009248,0.0,0.0
Watershed,TOTAL,20000,-0.036486,0.100957,-0.252161,-0.193655,-0.041714,0.13686,0.246633,0.645,0.3506
Watershed,TOTAL_RSS,20000,-0.035996,0.103175,-0.274919,-0.205337,-0.035573,0.133782,0.202545,0.64925,0.3645
